,artist,album,albumcount,year
3696,AC/DC,Back In Black,340,1980
5835,Aerosmith,Pump,110,1989
6403,Air Supply,Lost In Love,104,1980
7353,Alabama,Feels So Right,161,1981
7460,Alabama,Mountain Music,114,1982
22080,Barbra Streisand,Memories,104,1981
24418,Beastie Boys,Licensed To Ill,152,1986
29994,Billy Idol,Billy Idol,104,1982
30086,Billy Idol,Rebel Yell,82,1983
30243,Billy Joel,An Innocent Man,111,1983
30538,Billy Ocean,Suddenly,86,1984
30846,Billy Squier,Don't Say No,111,1981
36435,Bob Seger,Against The Wind,110,1980
37848,Bon Jovi,Slippery When Wet,118,1986
38324,Bonnie Raitt,Nick Of Time,185,1989
43694,Bruce Springsteen,Born In The U.S.A.,143,1984
44208,Bryan Adams,Cuts Like A Knife,89,1983
58563,Clint Black,Killin' Time,143,1989
63514,Culture Club,Kissing To Be Clever,88,1982
64012,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration,97,1983
72446,Debbie Gibson,Out Of The Blue,89,1987
73070,Def Leppard,High 'N' Dry,123,1981
73082,Def Leppard,Hysteria,136,1987
73141,Def Leppard,Pyromania,123,1983
77482,Dire Straits,Brothers In Arms,97,1985
79009,Don Henley,The End Of The Innocence,148,1989
84385,Eazy-E,Eazy-Duz-It,92,1988
92390,Europe,The Final Countdown,78,1986
96788,Fleetwood Mac,Greatest Hits,141,1988
98274,Foreigner,Foreigner,113,1981
104422,Genesis,Invisible Touch,85,1986
105702,George Michael,Faith,96,1987
108854,Gloria Estefan & Miami Sound Machine,Let It Loose,97,1987
113868,Guns N' Roses,Appetite For Destruction,204,1987
116151,"Harry Connick, Jr.",When Harry Met Sally (Soundtrack),122,1989
121343,INXS,Kick,81,1987
129958,Janet Jackson,Control,106,1986
130015,Janet Jackson,Janet Jackson's Rhythm Nation 1814,108,1989
130239,Jarreau,Breakin' Away,103,1981
132428,Jeffrey Osborne,Stay With Me Tonight,89,1983
146604,Journey,Escape,152,1981
146619,Journey,Frontiers,85,1983
147831,Juice Newton,Juice,86,1988
153542,Kenny G,Duotones,102,1986
166738,Linda Ronstadt & The Nelson Riddle Orchestra,What's New,80,1983
176267,Madonna,Like A Virgin,109,1984
176429,Madonna,True Blue,82,1986
185226,Men At Work,Business As Usual,90,1982
185939,Metallica,...And Justice For All,122,1988
186067,Metallica,Master Of Puppets,136,1986
186662,Michael Bolton,Soul Provider,202,1989
187192,Michael Jackson,Bad,171,1987
187546,Michael Jackson,Thriller,348,1982
188590,Midnight Star,No Parking On The Dance Floor,96,1983
193103,Motley Crue,Shout At The Devil,111,1983
195064,N.W.A,Straight Outta Compton,110,1988
198244,Neil Diamond,The Jazz Singer (Soundtrack),115,1980
201685,Nine Inch Nails,Pretty Hate Machine,115,1989
206976,Original Cast,"Hello, Dolly!",90,1989
208831,Ozzy Osbourne,Blizzard Of Ozz,107,1980
210874,Pat Benatar,Crimes Of Passion,93,1980
213988,Paula Abdul,Forever Your Girl,175,1988
217570,Phil Collins,...But Seriously,90,1989
217654,Phil Collins,Face Value,163,1981
217708,Phil Collins,"Hello, I Must Be Going!",141,1982
217753,Phil Collins,No Jacket Required,123,1985
220805,Poison,Look What The Cat Dragged In,101,1986
221722,Pretenders,Pretenders,78,1980
222064,Prince,1999,162,1982
222587,Prince And The Revolution,Purple Rain (Soundtrack),126,1984
225008,Quiet Riot,Metal Health,81,1983
225155,Quincy Jones,The Dude,80,1981
225976,REO Speedwagon,Hi Infidelity,101,1980
228010,Randy Travis,Storms Of Life,100,1986
234672,Rob Base & D.J. E-Z Rock,It Takes Two,81,1988
235522,Robert Palmer,Riptide,90,1985
241402,Sade,Diamond Life,81,1984
251793,Skid Row,Skid Row,78,1989
252369,Slaughter,Stick It To Ya,85,1989
256335,Soundtrack,Amadeus,78,1984
256766,Soundtrack,Beaches,176,1988
258433,Soundtrack,Flashdance,78,1983
263417,Soundtrack,The Big Chill,161,1984
275488,Talking Heads,Stop Making Sense,118,1984
276774,Tears For Fears,Songs From The Big Chair,82,1985
281445,The Bangles,Different Light,82,1986
293366,The Kentucky Headhunters,Pickin' On Nashville,96,1989
299335,The Pointer Sisters,Break Out,105,1982
299491,The Police,Ghost In The Machine,109,1981
299586,The Police,Zenyatta Mondatta,153,1980
315442,Too $hort,Life Is...Too Short,78,1989
316187,Toto,Toto IV,82,1982
321265,U2,The Joshua Tree,121,1987
321314,U2,The Unforgettable Fire,133,1984
321343,U2,War,180,1983
321379,UB40,Labour Of Love II,111,1989
323141,Van Halen,1984,80,1984
337699,Vince Gill,When I Call Your Name,78,1989
340770,Wham!,Make It Big,87,1984
340968,White Lion,Pride,86,1987
341167,Whitesnake,Slide It In,85,1984
342289,Willie Nelson,Always On My Mind,99,1982
347846,ZZ Top,Eliminator,185,1983
