,artist,album,albumcount,year
569,10cc,Live + Let Live,6,1977
4827,Ace,No Strings,2,1977
4837,Ace,Time For Another,6,1975
7003,Al Kooper,Act Like Nothing's Wrong,5,1977
7040,Al Kooper,New York City (You're A Woman),3,1971
8207,Albert Hammond,The Free Electric Band,4,1973
8281,Albert King,Lovejoy,6,1971
8955,Alice Coltrane,Universal Consciousness,2,1971
9189,Alice Cooper,The Alice Cooper Show,6,1977
9212,Alice Cooper,Welcome 2 My Nightmare,3,1975
9793,Alive & Kicking,Alive 'N Kickin',3,1970
10712,Amazing Rhythm Aces,Amazing Rhythm Aces,7,1975
10736,Amazing Rhythm Aces,Too Stuffed To Jump,7,1976
10980,America,Silent Letter,6,1979
13100,Andy Williams,"Andy Williams' Greatest Hits, Vol. 2",5,1970
13350,Angel,Sinful,5,1979
13371,Angel City,Face To Face,7,1976
14070,Ann Peebles,Straight From The Heart,3,1971
14260,Anne Murray,Keeping In Touch,6,1976
14313,Anne Murray,Talk It Over In The Morning,4,1971
14927,Antonio Carlos Jobim,Stone Flower,2,1970
15860,Aretha Franklin,"The Very Best Of Aretha Franklin, The '60s",3,1972
15986,Argent,Encore-Live In Concert,4,1974
16005,Argent,Nexus,6,1974
16608,Arthur Prysock,A Portrait Of Arthur Prysock,7,1975
16981,Ashford & Simpson,Come As You Are,4,1976
16999,Ashford & Simpson,I Wanna Be Selfish,4,1974
17054,Ashford & Simpson,So So Satisfied,3,1977
17931,Audience,Lunch,5,1972
19454,B.B. King,King Size,7,1977
19789,B.T. Express,Function At The Junction,5,1977
20318,Babe Ruth,Babe Ruth,7,1972
20325,Babe Ruth,Stealin' Home,6,1975
20504,Bachman-Turner Overdrive,Bachman Turner Overdrive,2,1973
21149,Badfinger,Badfinger,5,1971
21537,Band Of The Black Watch,Scotch On The Rocks,4,1976
23322,Barry White,I Love To Sing The Songs I Sing,6,1979
23878,Bay City Rollers,Strangers In The Wind,4,1978
24840,Bee Gees,Bee Gees: Opus Collection,4,1979
25034,Bee Gees,Mr. Natural,5,1974
27157,Betty Wright,I Love The Way You Love,6,1972
29208,Bill Cosby,Inside The Mind Of Bill Cosby,4,1972
29524,Bill Withers,Naked & Warm,4,1976
29736,Billy Cobham,A Funky Thide Of Sings,7,1975
30579,Billy Paul,Going East,2,1971
30605,Billy Paul,Live In Europe,4,1973
30610,Billy Paul,Only The Strong Survive,4,1977
33795,"Blood, Sweat & Tears",Mirror Image,6,1974
33806,"Blood, Sweat & Tears",More Than Ever,3,1976
33888,Bloodrock,Bloodrock,5,1970
33923,Bloodrock,Bloodrock U.S.A.,7,1971
34012,Bloodstone,Riddle Of The Sphinx,6,1975
34092,Blue Cheer,The Original Human Being,5,1970
34118,Blue Magic,Mystic Dragons,5,1976
35000,Bob Dylan,Another Self Portrait: The Bootleg Series Vol. 10 (1969-1971),5,1970
36030,Bob Marley And The Wailers,Burnin',6,1973
36138,Bob Marley And The Wailers,Marley: The Original Soundtrack (Soundtrack),3,1977
36772,Bobby Bloom,The Bobby Bloom Album,3,1970
37407,Bobby Vinton,My Elusive Dreams,6,1970
38533,Bonzo Dog Band,Let's Make Up And Be Friendly,2,1972
40482,Brand X,Product,6,1979
40491,Brand X,Unorthodox Behaviour,3,1976
40870,Brass Construction,Brass Construction Iv,4,1978
41504,Brewer And Shipley,Rural Space,7,1972
41588,Brian Auger's Oblivion Express,Happiness Heartaches,5,1977
41688,Brian Eno,Before And After Science,5,1977
42148,Brides Of Funkenstein,Never Buy Texas From A Cowboy,7,1979
42815,Brook Benton,Home Style,2,1970
43438,Brownsville Station,A Night On The Town,5,1972
43707,Bruce Springsteen,Born To Run: 30th Anniversary Edition,6,1975
44358,Bryan Ferry,In Your Mind,5,1977
44366,Bryan Ferry,Let's Stick Together,5,1976
44389,Bryan Ferry,The Bride Stripped Bare,5,1978
45159,Buddy Miles,Booger Bear,3,1973
45358,Buffy Sainte-Marie,She Used To Wanna Be A Ballerina,6,1971
45816,Burt Bacharach,Living Together,6,1973
45861,Burton Cummings,My Own Way To Rock,6,1977
46810,Cactus,'Ot 'N' Sweaty,5,1972
46844,Cactus,Son Of Cactus,6,1973
47610,Camel,The Snow Goose,5,1975
47879,Candi Staton,Stand By Your Man,2,1971
48220,Cannonball Adderley,"Experience In E, Tensity, Dialogues",2,1970
48223,Cannonball Adderley,Inside Straight,5,1973
48267,Cannonball Adderley,The Black Messiah,3,1971
48282,Cannonball Adderley,The Price You Got To Pay To Be Free,2,1970
48460,Captain Beefheart & The Magic Band,Clear Spot,7,1972
48486,Captain Beyond,Dawn Explosion,2,1977
49300,Carol Douglas,Midnight Love Affair,6,1976
49309,Carol Douglas,The Carol Douglas Album,3,1975
49803,Carpenters,Singles: 1969-1981,1,1973
49921,Carrie Lucas,Simply Carrie,5,1977
52245,Charles Earland,Living Black!,7,1970
52428,Charley Pride,Sweet Country,6,1973
52656,Charlie Rich,Rollin' With The Flow,3,1977
53105,Cheap Trick,Cheap Trick,2,1978
53324,Cheech & Chong,Up In Smoke (Soundtrack),7,1978
53832,Cheryl Lynn,In Love,4,1979
54005,Chet Atkins,Yestergroovin',5,1970
54026,Chet Atkins And Les Paul,Chester & Lester,5,1976
54220,Chicago,"Chicago - Greatest Hits, Volume II",5,1975
54618,Chick Corea,An Evening With Chick Corea & Herbie Hancock,2,1978
54976,Chilliwack,Lights From The Valley,4,1978
55308,Chocolate Milk,Action Speaks Louder Than Words,3,1975
55333,Chocolate Milk,We're All In This Together,5,1976
55805,Chris Hillman,Clear Sailin',3,1977
55815,Chris Hillman,Slippin' Away,6,1976
58520,Climax,Climax,7,1976
60271,Commander Cody & His Lost Planet Airmen,Rock 'N Roll Again,5,1977
60280,Commander Cody & His Lost Planet Airmen,Tales From The Ozone,6,1975
60292,Commander Cody & His Lost Planet Airmen,We've Got A Live One Here,3,1976
61553,Couchois,Couchois,4,1979
61831,Country Joe McDonald,Incredible! Live!,4,1972
62062,Crabby Appleton,Crabby Appleton,6,1970
62072,Crack The Sky,Animal Notes,5,1976
62080,Crack The Sky,Crack The Sky,6,1975
63721,Curtis Mayfield,Got To Find A Way,7,1974
63728,Curtis Mayfield,Never Say You Can't Survive,3,1977
64385,D.J. Rogers,On The Road Again,5,1976
66076,Dan Hartman,Relight My Fire,2,1979
66125,Dan Hill,Frozen In The Night,6,1978
67540,Daryl Hall John Oates,No Goodbyes,6,1977
68524,Dave Mason,The Very Best Of Dave Mason,4,1978
69021,David,Disguised As A Normal Person,6,1971
69037,David,Radio Free Nixon,6,1970
69086,David Allan Coe,17 Greatest Hits,1,1974
69945,David Bromberg,David Bromberg,2,1972
69956,David Bromberg,Midnight On The Water,3,1975
69985,David Bromberg,Wanted Dead Or Alive,5,1974
70546,David Gates,Goodbye Girl,4,1978
70870,David Johansen,In Style,4,1979
70904,David Laflamme,White Bird,6,1978
71027,David Matthews,Dune,7,1977
71339,David Soul,Playing To An Audience Of One,7,1977
71351,David T Walker,On Love,5,1976
71714,Dead Boys,"Young, Loud And Snotty",4,1977
71862,Dean Friedman,Dean Friedman,6,1977
72481,Debby Boone,Midstream,5,1978
72610,Dee Dee Bridgewater,Bad For Me,4,1979
72619,Dee Dee Bridgewater,Just Family,7,1978
72790,Deep Purple,Made In Europe,6,1976
73666,Delaney & Bonnie,D&B Together,6,1972
74199,Dennis Coffey,Electric Coffey,6,1972
74680,Derek & The Dominos,Layla And Other Assorted Love Songs,2,1970
74798,Derringer,Sweet Evil,3,1977
77327,Dionne Warwick,Then Came You,6,1975
78165,Dixie Dregs,What If,4,1978
78271,Doc Severinsen,Brass Roots,2,1971
78281,Doc Severinsen,Night Journey,4,1976
78442,Dolly Parton,A Real Live Dolly,2,1970
78633,Dolly Parton,Joshua,1,1971
78682,Dolly Parton,Once More,2,1970
78750,Dolly Parton,Two Of A Kind,3,1971
79032,Don Ho,Don Ho-Greatest Hits!,6,1975
79113,Don Nix,Living By The Days,3,1971
79296,Don Williams,Expressions,7,1978
79365,Donald Byrd,Thank You...For F.U.M.L. (Funking Up My Life),4,1978
79921,Donny & Marie Osmond,Make The World Go Away,6,1975
80822,Dr. Hook,Belly Up!,6,1973
84039,Earl Scruggs Revue,"The Earl Scruggs Revue, Vol. II",4,1975
84696,Eddie Harris,Bad Luck Is All I Have,6,1975
84841,Eddie Kendricks,Vintage 78',3,1978
85005,Eddie Rabbitt,Variations,7,1978
85234,Edgar Winter,Entrance,2,1970
86034,Electric Light Orchestra,No Answer,2,1971
87302,Elton John,The Captain & The Kid,6,1975
88544,Elvis Presley,"Love, Elvis",4,1970
91532,Eric Gale,Part Of You,5,1979
91674,Eric Weissberg & Steve Mandell,Rural Free Delivery,2,1973
95188,Faze-O,Good Thang,3,1978
96452,Flaming Groovies,Shake Some Action,7,1976
97358,Flora Purim,500 Miles High,5,1974
97365,Flora Purim,Encounter,3,1977
97373,Flora Purim,"Everyday,everynight",4,1978
97782,Focus,Mother Focus,6,1975
97800,Focus,Ship Of Memories,7,1976
98505,Foster Sylvers,Foster Sylvers,7,1973
98826,Four Tops,Night Lights Harmony,5,1975
100218,Frank Zappa,Orchestral Favorites,4,1979
100224,Frank Zappa,Sleep Dirt,4,1979
100231,Frank Zappa,Studio Tan,6,1978
100457,Frankie Valli,Frankie Valli...Is The Word,7,1978
100811,Fred Wesley & The Horny Horns,A Blow For Me A Toot For You,5,1977
100935,Freddie Hubbard,Bundle Of Joy,6,1977
100943,Freddie Hubbard,High Energy,7,1974
100949,Freddie Hubbard,Keep Your Soul Together,5,1973
100954,Freddie Hubbard,Liquid Love,6,1975
100960,Freddie Hubbard,Polar AC,4,1975
100965,Freddie Hubbard,Sky Dive,7,1972
100980,Freddie Hubbard,The Baddest Hubbard,7,1972
101465,Frost,Through The Eyes Of Love,2,1970
101826,Funkadelic,Standing On The Verge Of Getting It On,5,1974
103159,Garland Jeffreys,American Boy + Girl,5,1979
103926,Gato Barbieri,Chapter Three - Viva Emiliano Zapata,3,1974
103933,Gato Barbieri,Last Tango In Paris,7,1972
104118,Gene Clark,No Other,5,1974
104187,Gene Page,Hot City,4,1974
104611,Gentle Giant,Interview,5,1976
104630,Gentle Giant,The Missing Piece,7,1977
104657,George Baker Selection,Paloma Blanca,7,1975
105093,George Duke,From Me To You,3,1977
105119,George Duke,"I Love The Blues, She Heard My Cry",6,1975
107714,Giorgio Moroder,From Here To Eternity,7,1977
107921,Gladys Knight And The Pips,A Little Knight Music,4,1975
108240,Glen Campbell,Basic,5,1978
108368,Glen Campbell,I Knew Jesus (Before He Was A Star),6,1973
108388,Glen Campbell,Live At The Royal Festival Hall,5,1977
108443,Glen Campbell,Reunion (The Songs Of Jimmy Webb),5,1974
109556,Golden Earring,To The Hilt,4,1975
110775,Grace Slick,Manhole,7,1974
110946,Graham Parker,Heat Treatment,7,1976
111023,Graham Parker,The Parkerilla,3,1978
111060,Gram Parsons,Grievous Angel,3,1974
112183,Grease,Grease Band,3,1971
113004,Grin,1 + 1,6,1972
114928,Hank Crawford,I Hear A Symphony,7,1975
115861,Harry Chapin,Legends Of The Lost And Found - New Greatest Stories Live,3,1979
115886,Harry Chapin,On The Road To Kingdom Come,6,1976
116191,Harry Nilsson,Sandman,7,1976
116517,Hawkwind,Warrior On The Edge Of Time,5,1975
116973,Heartsfield,Foolish Pleasures,7,1975
117616,Henry Gross,Show Me To The Stage,7,1977
