,album,id,song,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id
0,Mandatory Fun,1.0,Handy,"""Weird Al"" Yankovic",0.276,0.696,176307.0,0.556,0.0,10.0,0.234,-11.442,1.0,0.404,192.073,4.0,0.792,36jlZKG1sNZQA2HbWdYveV
1,Mandatory Fun,1.0,Lame Claim to Fame,"""Weird Al"" Yankovic",0.0141,0.691,225387.0,0.796,1.27e-06,9.0,0.151,-8.388,1.0,0.0336,136.05,4.0,0.927,36jlZKG1sNZQA2HbWdYveV
2,Mandatory Fun,1.0,Foil,"""Weird Al"" Yankovic",0.00875,0.813,142947.0,0.329,0.0,10.0,0.24,-14.814,0.0,0.211,85.716,4.0,0.441,36jlZKG1sNZQA2HbWdYveV
3,Mandatory Fun,1.0,Sports Song,"""Weird Al"" Yankovic",0.531,0.608,134693.0,0.729,0.0,3.0,0.0662,-8.649,0.0,0.0617,130.988,4.0,0.712,36jlZKG1sNZQA2HbWdYveV
4,Mandatory Fun,1.0,Word Crimes,"""Weird Al"" Yankovic",0.0118,0.897,223120.0,0.43,0.0,7.0,0.0473,-12.759,1.0,0.0551,121.987,4.0,0.964,36jlZKG1sNZQA2HbWdYveV
5,Mandatory Fun,1.0,My Own Eyes,"""Weird Al"" Yankovic",0.00269,0.398,220600.0,0.895,6.59e-05,2.0,0.256,-8.19,1.0,0.0867,74.011,4.0,0.624,36jlZKG1sNZQA2HbWdYveV
6,Mandatory Fun,1.0,NOW That's What I Call Polka!,"""Weird Al"" Yankovic",0.164,0.503,246000.0,0.728,0.0,5.0,0.0827,-8.409,1.0,0.136,155.882,4.0,0.937,36jlZKG1sNZQA2HbWdYveV
7,Mandatory Fun,1.0,Mission Statement,"""Weird Al"" Yankovic",0.111,0.402,268760.0,0.656,0.0,8.0,0.0391,-8.613,1.0,0.0332,138.589,4.0,0.55,36jlZKG1sNZQA2HbWdYveV
8,Mandatory Fun,1.0,Inactive,"""Weird Al"" Yankovic",0.0223,0.382,176280.0,0.619,0.0,9.0,0.699,-9.78,1.0,0.0419,136.301,4.0,0.318,36jlZKG1sNZQA2HbWdYveV
9,Mandatory Fun,1.0,First World Problems,"""Weird Al"" Yankovic",0.0389,0.516,193693.0,0.889,0.0,9.0,0.143,-7.739,1.0,0.0453,139.393,4.0,0.541,36jlZKG1sNZQA2HbWdYveV
10,Mandatory Fun,1.0,Tacky,"""Weird Al"" Yankovic",0.304,0.734,173093.0,0.764,0.0,1.0,0.454,-10.757,1.0,0.0631,160.005,4.0,0.977,36jlZKG1sNZQA2HbWdYveV
11,Mandatory Fun,1.0,Jackson Park Express,"""Weird Al"" Yankovic",0.344,0.406,545533.0,0.482,0.0,7.0,0.057,-9.904,1.0,0.0316,141.978,4.0,0.508,36jlZKG1sNZQA2HbWdYveV
12,Celebrity,1.0,Pop,'N Sync,0.0341,0.706,238427.0,0.861,0.0,11.0,0.127,-6.684,1.0,0.154,119.946,4.0,0.923,7zBue2Vuzg4Z3ncRXaIkJg
13,Celebrity,1.0,Celebrity,'N Sync,0.0217,0.894,198733.0,0.806,0.0,9.0,0.0351,-3.885,1.0,0.0753,109.224,4.0,0.783,7zBue2Vuzg4Z3ncRXaIkJg
14,Celebrity,1.0,The Game Is Over,'N Sync,0.039,0.727,205467.0,0.853,0.0,4.0,0.389,-4.383,0.0,0.0944,93.029,4.0,0.87,7zBue2Vuzg4Z3ncRXaIkJg
15,Celebrity,1.0,Girlfriend,'N Sync,0.0866,0.748,253600.0,0.811,1.45e-05,0.0,0.0282,-5.213,0.0,0.0907,93.963,4.0,0.862,7zBue2Vuzg4Z3ncRXaIkJg
16,Celebrity,1.0,The Two Of Us,'N Sync,0.0618,0.75,231760.0,0.811,1.83e-06,0.0,0.152,-5.418,1.0,0.0461,134.01,4.0,0.912,7zBue2Vuzg4Z3ncRXaIkJg
17,Celebrity,1.0,Gone,'N Sync,0.43,0.704,292000.0,0.409,0.0,11.0,0.109,-8.581,0.0,0.0597,113.863,4.0,0.495,7zBue2Vuzg4Z3ncRXaIkJg
18,Celebrity,1.0,"Tell Me, Tell Me...Baby",'N Sync,0.0173,0.661,216640.0,0.946,0.000304,10.0,0.101,-3.283,0.0,0.0713,98.031,4.0,0.945,7zBue2Vuzg4Z3ncRXaIkJg
19,Celebrity,1.0,Up Against The Wall,'N Sync,0.00222,0.721,217533.0,0.865,2.76e-06,9.0,0.219,-4.602,0.0,0.0588,129.027,4.0,0.928,7zBue2Vuzg4Z3ncRXaIkJg
20,Celebrity,1.0,See Right Through You,'N Sync,0.014,0.718,172933.0,0.83,0.0,9.0,0.0727,-4.092,1.0,0.0453,102.948,4.0,0.74,7zBue2Vuzg4Z3ncRXaIkJg
