,album,rank,song,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id
0,Hoodie SZN,1,Voices In My Head,A Boogie Wit da Hoodie,0.0555,0.754,142301.0,0.663,0.0,6.0,0.101,-6.311,0.0,0.427,90.195,4.0,0.207,3r5hf3Cj3EMh1C2saQ8jyt
1,Hoodie SZN,1,Beasty,A Boogie Wit da Hoodie,0.292,0.86,152829.0,0.418,0.0,7.0,0.106,-9.061,0.0,0.158,126.023,4.0,0.374,3r5hf3Cj3EMh1C2saQ8jyt
2,Hoodie SZN,1,I Did It,A Boogie Wit da Hoodie,0.153,0.718,215305.0,0.454,4.6e-05,8.0,0.116,-9.012,1.0,0.127,89.483,4.0,0.196,3r5hf3Cj3EMh1C2saQ8jyt
3,Hoodie SZN,1,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.0153,0.581,189487.0,0.662,0.0,9.0,0.111,-5.239,1.0,0.303,93.023,4.0,0.434,3r5hf3Cj3EMh1C2saQ8jyt
4,Hoodie SZN,1,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,0.0235,0.736,192779.0,0.622,0.0,6.0,0.151,-4.653,0.0,0.133,191.971,4.0,0.506,3r5hf3Cj3EMh1C2saQ8jyt
5,Hoodie SZN,1,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,0.0114,0.81,214593.0,0.55,5.69e-06,2.0,0.107,-7.46,0.0,0.17,76.503,4.0,0.183,3r5hf3Cj3EMh1C2saQ8jyt
6,Hoodie SZN,1,Love Drugs and Sex,A Boogie Wit da Hoodie,0.55,0.762,157863.0,0.553,0.0,5.0,0.115,-7.207,0.0,0.112,119.973,4.0,0.773,3r5hf3Cj3EMh1C2saQ8jyt
7,Hoodie SZN,1,Skeezers,A Boogie Wit da Hoodie,0.558,0.792,198054.0,0.484,0.0,7.0,0.134,-7.801,0.0,0.155,140.019,4.0,0.353,3r5hf3Cj3EMh1C2saQ8jyt
8,Hoodie SZN,1,Savage,A Boogie Wit da Hoodie,0.188,0.78,169046.0,0.402,0.0,5.0,0.0597,-9.255,0.0,0.149,160.046,4.0,0.483,3r5hf3Cj3EMh1C2saQ8jyt
9,Hoodie SZN,1,Come Closer (feat. Queen Naija),A Boogie Wit da Hoodie,0.22,0.741,156512.0,0.556,0.0,7.0,0.0981,-6.647,0.0,0.0947,140.056,4.0,0.616,3r5hf3Cj3EMh1C2saQ8jyt
10,Hoodie SZN,1,Look Back At It,A Boogie Wit da Hoodie,0.407,0.791,179449.0,0.587,0.0,3.0,0.148,-5.075,0.0,0.0413,96.057,4.0,0.536,3r5hf3Cj3EMh1C2saQ8jyt
11,Hoodie SZN,1,Just Like Me (feat. Young Thug),A Boogie Wit da Hoodie,0.156,0.774,220888.0,0.623,0.0,5.0,0.0955,-7.871,1.0,0.245,128.661,5.0,0.393,3r5hf3Cj3EMh1C2saQ8jyt
12,Hoodie SZN,1,Bosses and Workers (feat. Don Q and Trap Manny),A Boogie Wit da Hoodie,0.358,0.842,207223.0,0.605,0.0,1.0,0.0843,-6.293,0.0,0.0559,130.027,4.0,0.591,3r5hf3Cj3EMh1C2saQ8jyt
13,Hoodie SZN,1,Need A Best Friend (feat. Lil Quee and Quando Rondo),A Boogie Wit da Hoodie,0.06,0.696,204329.0,0.52,0.0,0.0,0.118,-6.361,1.0,0.294,165.105,4.0,0.359,3r5hf3Cj3EMh1C2saQ8jyt
14,Hoodie SZN,1,The Reaper,A Boogie Wit da Hoodie,0.379,0.761,176533.0,0.61,0.0,6.0,0.123,-7.039,1.0,0.094,141.955,4.0,0.479,3r5hf3Cj3EMh1C2saQ8jyt
15,Hoodie SZN,1,Uptown / Bustdown (feat. PnB Rock and Lil Durk),A Boogie Wit da Hoodie,0.215,0.503,177763.0,0.751,0.0,6.0,0.0551,-5.785,0.0,0.35,90.04,4.0,0.324,3r5hf3Cj3EMh1C2saQ8jyt
16,Hoodie SZN,1,Billie Jean,A Boogie Wit da Hoodie,0.0919,0.83,138014.0,0.536,0.0,4.0,0.102,-6.324,0.0,0.152,139.961,4.0,0.375,3r5hf3Cj3EMh1C2saQ8jyt
17,Hoodie SZN,1,4 Min Convo (Favorite Song),A Boogie Wit da Hoodie,0.359,0.705,257274.0,0.65,0.0,7.0,0.169,-5.654,0.0,0.212,91.053,4.0,0.658,3r5hf3Cj3EMh1C2saQ8jyt
18,Hoodie SZN,1,Odee,A Boogie Wit da Hoodie,0.208,0.854,160868.0,0.48,0.0,9.0,0.127,-7.388,0.0,0.293,86.049,4.0,0.293,3r5hf3Cj3EMh1C2saQ8jyt
19,Hoodie SZN,1,Pull Up (feat. NAV),A Boogie Wit da Hoodie,0.487,0.828,193575.0,0.37,0.0,7.0,0.119,-7.446,0.0,0.264,149.95,4.0,0.557,3r5hf3Cj3EMh1C2saQ8jyt
20,I Am > I Was,1,a lot,21 Savage,0.0395,0.837,288624.0,0.636,0.00125,1.0,0.342,-7.643,1.0,0.086,145.972,4.0,0.274,007DWn799UWvfY1wwZeENR
21,I Am > I Was,1,break da law,21 Savage,0.0493,0.904,177748.0,0.575,0.0,1.0,0.256,-7.823,1.0,0.346,141.039,4.0,0.359,007DWn799UWvfY1wwZeENR
22,I Am > I Was,1,a&t,21 Savage,0.00169,0.924,211588.0,0.567,0.0,5.0,0.0898,-5.009,1.0,0.0964,146.975,4.0,0.827,007DWn799UWvfY1wwZeENR
