,album,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Mandatory Fun,1.0,0.1523783333333333,0.5871666666666666,227201.08333333334,0.6560833333333334,5.597500000000001e-06,6.666666666666667,0.20577499999999996,-9.953666666666669,0.8333333333333334,0.10026666666666667,134.41441666666665,4.0,0.6909166666666667
1,Celebrity,1.0,0.11898615384615384,0.7066923076923076,229707.6923076923,0.7376923076923076,3.962230769230769e-05,7.615384615384615,0.13746153846153847,-6.004153846153846,0.46153846153846156,0.06862307692307693,108.50076923076921,4.0,0.7406923076923078
2,No Strings Attached,8.0,0.16522675,0.627,235446.91666666666,0.7995833333333332,0.006703779166666667,5.0,0.19664166666666663,-5.087666666666667,0.5833333333333334,0.055125,130.07283333333334,3.9166666666666665,0.6738333333333334
3,Based On A T.R.U. Story,1.0,0.12420235294117647,0.7516470588235296,237189.0588235294,0.6813529411764704,0.025713123529411765,4.823529411764706,0.17427058823529412,-5.175000000000002,0.5882352941176471,0.15789999999999996,131.90541176470586,4.0,0.4416823529411764
4,I Am > I Was,2.0,0.04636353333333333,0.8717333333333332,204345.2,0.5690000000000001,0.00011927466666666668,4.4,0.17745333333333332,-7.1476,0.6666666666666666,0.2542333333333333,126.26506666666664,4.0,0.41302
5,All Eyez On Me,2.0,0.07087014814814814,0.7620740740740742,294053.3333333333,0.816962962962963,0.002397661111111111,6.2592592592592595,0.2407148148148148,-4.781333333333333,0.5925925925925926,0.20215925925925926,104.9145925925926,4.0,0.665740740740741
6,Loyal To The Game,1.0,0.15621529411764706,0.791764705882353,228886.17647058822,0.7115882352941176,0.00028079705882352944,6.764705882352941,0.15287647058823528,-5.1941764705882365,0.47058823529411764,0.2425470588235294,110.19364705882353,4.0,0.6944117647058822
7,Me Against The World,4.0,0.20870879999999997,0.8014666666666664,263861.26666666666,0.6801333333333334,0.002534845333333333,6.533333333333333,0.2345066666666667,-7.157466666666666,0.6,0.21017999999999998,95.28673333333332,4.0,0.5958
8,Until The End Of Time,1.0,0.11983551724137931,0.8235517241379311,257111.0344827586,0.7491034482758622,0.0033062841379310343,5.862068965517241,0.17207241379310345,-5.201896551724136,0.4482758620689655,0.22155862068965515,108.23831034482761,4.0344827586206895,0.6771379310344827
9,3 Doors Down,1.0,0.006294363636363636,0.4894545454545455,222890.81818181818,0.8857272727272728,0.01333413,7.7272727272727275,0.18715454545454546,-5.635090909090909,0.5454545454545454,0.04431818181818182,130.78172727272727,4.0,0.6211818181818183
10,Seventeen Days,1.0,0.09697141666666664,0.50825,221011.16666666666,0.7518333333333334,0.00010487166666666666,4.916666666666667,0.17451666666666665,-5.837083333333333,0.5833333333333334,0.05079166666666666,137.71666666666664,4.0,0.37200000000000005
12,Sounds Good Feels Good,1.0,0.02130729411764706,0.5124117647058825,228091.58823529413,0.8278823529411765,0.0,5.117647058823529,0.18634117647058823,-4.883058823529412,0.8823529411764706,0.05382352941176471,135.4688235294118,3.8823529411764706,0.5163529411764705
13,Youngblood,1.0,0.0271315,0.6270625,188340.0625,0.7635000000000001,2.83875e-06,4.1875,0.1481875,-4.235062500000001,0.5625,0.08815624999999999,129.51281250000002,3.9375,0.50925
14,Get Rich Or Die Tryin',6.0,0.14472315789473683,0.6587368421052633,219888.42105263157,0.7886315789473685,0.04986172684210526,6.105263157894737,0.15053157894736843,-3.686947368421053,0.5263157894736842,0.287,89.76910526315791,3.8421052631578947,0.6299473684210528
